variable,type,TAI+,TAI−,n_non_missing_TAI+,n_non_missing_TAI−,n_missing_total,SMD,p_value,p_value_method
N_group,meta,84,971,,,,,,
age,continuous,"22 [21, 23]","22 [20, 23]",84,971,0,0.103,1.0,permutation_median_diff
tsh,continuous,"2.4 [1.46, 3.52]","1.77 [1.27, 2.42]",84,970,1,0.896,0.0003332222592469177,permutation_median_diff
anti_tpo,continuous,"129 [70.9, 261]","9.9 [9, 13]",84,971,0,4.247,0.0003332222592469177,permutation_median_diff
tg,continuous,"75.3 [58.8, 103]","77 [58.9, 105]",84,969,2,-0.018,0.7184271909363545,permutation_median_diff
hdl,continuous,"56.6 [48, 66]","57.8 [48.6, 67.2]",84,969,2,-0.012,0.4971676107964012,permutation_median_diff
tc,continuous,"164 [137, 188]","164 [146, 185]",84,969,2,-0.048,0.9476841052982339,permutation_median_diff
ldl,continuous,"85.5 [68.7, 107]","87.9 [72, 106]",84,969,2,-0.043,0.5598133955348217,permutation_median_diff
tg_hdl_ratio,continuous,"1.24 [0.95, 2.22]","1.29 [0.904, 2]",84,969,2,0.048,0.6694435188270577,permutation_median_diff
non_hdl,continuous,"103 [81.9, 127]","104 [86.8, 125]",84,969,2,-0.043,0.6774408530489837,permutation_median_diff
glu0,continuous,"84 [79.9, 89.4]","83.7 [80.3, 87.9]",79,957,19,0.075,0.8313895368210596,permutation_median_diff
glu120,continuous,"106 [93.2, 126]","108 [91.2, 127]",79,956,20,0.031,0.6931022992335888,permutation_median_diff
tt,continuous,"0.369 [0.258, 0.483]","0.37 [0.272, 0.517]",84,970,1,-0.128,0.9570143285571476,permutation_median_diff
ft,continuous,"2.71 [1.41, 3.94]","2.14 [1.19, 3.65]",77,860,118,0.074,0.02732422525824725,permutation_median_diff
dheas,continuous,"316 [245, 419]","320 [245, 413]",84,970,1,-0.094,0.813728757080973,permutation_median_diff
andro,continuous,"1.42 [1.12, 1.76]","1.48 [1.12, 1.92]",54,637,364,-0.216,0.6621126291236255,permutation_median_diff
amh,continuous,"4.88 [4.69, 5.37]","6.01 [4.53, 10.3]",4,61,990,-0.516,0.5164945018327224,permutation_median_diff
lh,continuous,"6.95 [4.56, 10.5]","7.21 [4.96, 10.4]",84,970,1,-0.002,0.6554481839386871,permutation_median_diff
fsh,continuous,"5.85 [5.09, 6.73]","5.86 [5.01, 6.91]",84,970,1,0.086,0.9510163278907031,permutation_median_diff
shbg,continuous,NA,"25.5 [25.5, 25.5]",0,1,1054,,,permutation_median_diff
ep_primary,binary,4/84 (4.8%),66/969 (6.8%),84,969,2,-0.087,,not_reported_for_binary_descriptives
ep_non_hdl,binary,19/84 (22.6%),205/969 (21.2%),84,969,2,0.036,,not_reported_for_binary_descriptives
ep_ogtt120,binary,14/79 (17.7%),142/956 (14.9%),79,956,20,0.056,,not_reported_for_binary_descriptives
euthyroid_tsh_only,binary,69/84 (82.1%),937/970 (96.6%),84,970,1,-0.465,,not_reported_for_binary_descriptives
