variant,variant_description,endpoint,endpoint_label,exposure,eligibility_flag,status,n,events,n_tai_pos,n_tai_neg,events_tai_pos,events_tai_neg,OR,CI_low,CI_high,n_boot_success,n_boot_nonconverged,n_boot_failed_or_skipped,converged,optimizer_message,n_iter,age_centering_mean,trim_applied,trim_var,trim_q_low,trim_q_high,trim_low_value,trim_high_value,n_before_trim,n_after_trim,n_trimmed
base_TAI_A,Base analysis with TAI definition A,ep_primary,Primary endpoint,tai_A,analysis_primary_eligible,ok,1053,70,84,969,4,66,0.7658349805993099,0.2108528694966625,1.66581638021192,2000,5,0,True,Converged,8,21.441595441595442,False,,,,,,1300,1300,0
base_TAI_A,Base analysis with TAI definition A,ep_non_hdl,non-HDL ≥ 130 mg/dL,tai_A,analysis_non_hdl_eligible,ok,1053,224,84,969,19,205,1.0912202311240955,0.6116881886188331,1.7630873053904657,2000,1,0,True,Converged,6,21.441595441595442,False,,,,,,1300,1300,0
base_TAI_A,Base analysis with TAI definition A,ep_ogtt120,OGTT 120' glucose ≥ 140 mg/dL,tai_A,analysis_ogtt120_eligible,ok,1035,156,79,956,14,142,1.265196713498669,0.6251808771056044,2.1802891511462805,2000,1,0,True,Converged,7,21.442512077294687,False,,,,,,1300,1300,0
euthyroid_TAI_A,Restriction to euthyroid participants,ep_primary,Primary endpoint,tai_A,analysis_primary_eligible,ok,1005,66,69,936,2,64,0.5044001111648557,0.08604538376031083,1.2762268706289335,2000,5,0,True,Converged,8,21.45273631840796,False,,,,,,1122,1122,0
euthyroid_TAI_A,Restriction to euthyroid participants,ep_non_hdl,non-HDL ≥ 130 mg/dL,tai_A,analysis_non_hdl_eligible,ok,1005,215,69,936,15,200,1.0302735782870183,0.5544233721538079,1.7935979534497963,2000,3,0,True,Converged,6,21.45273631840796,False,,,,,,1122,1122,0
euthyroid_TAI_A,Restriction to euthyroid participants,ep_ogtt120,OGTT 120' glucose ≥ 140 mg/dL,tai_A,analysis_ogtt120_eligible,ok,987,151,64,923,10,141,1.066736460820935,0.45029083546455956,1.967030984108823,2000,5,0,True,Converged,6,21.45390070921986,False,,,,,,1122,1122,0
base_TAI_B,Alternative TAI definition B,ep_primary,Primary endpoint,tai_B,analysis_primary_eligible,ok,1053,70,14,1039,2,68,2.8657853114785805,0.4723971646724354,8.77051344672875,2000,7,0,True,Converged,10,21.441595441595442,False,,,,,,1300,1300,0
base_TAI_B,Alternative TAI definition B,ep_non_hdl,non-HDL ≥ 130 mg/dL,tai_B,analysis_non_hdl_eligible,ok,1053,224,14,1039,4,220,1.5616317763626797,0.3589862518658237,4.206869502421892,2000,4,0,True,Converged,8,21.441595441595442,False,,,,,,1300,1300,0
base_TAI_B,Alternative TAI definition B,ep_ogtt120,OGTT 120' glucose ≥ 140 mg/dL,tai_B,analysis_ogtt120_eligible,ok,1035,156,14,1021,4,152,2.4434475142468126,0.6151153377152566,6.751797314007037,2000,4,0,True,Converged,9,21.442512077294687,False,,,,,,1300,1300,0
base_TAI_C,Alternative TAI definition C,ep_primary,Primary endpoint,tai_C,analysis_primary_eligible,ok,1053,70,53,1000,4,66,1.2843328651938888,0.3447581105892463,2.904145207425513,2000,9,0,True,Converged,8,21.441595441595442,False,,,,,,1300,1300,0
base_TAI_C,Alternative TAI definition C,ep_non_hdl,non-HDL ≥ 130 mg/dL,tai_C,analysis_non_hdl_eligible,ok,1053,224,53,1000,13,211,1.2325176748951325,0.602384552017519,2.2062748753126993,2000,3,0,True,Converged,6,21.441595441595442,False,,,,,,1300,1300,0
base_TAI_C,Alternative TAI definition C,ep_ogtt120,OGTT 120' glucose ≥ 140 mg/dL,tai_C,analysis_ogtt120_eligible,ok,1035,156,50,985,7,149,0.9646991848942921,0.36500803193126846,1.9247499995873414,2000,6,0,True,Converged,7,21.442512077294687,False,,,,,,1300,1300,0
trim01_99_TAI_A,Outlier robustness using 1%/99% trimming,ep_primary,Primary endpoint,tai_A,analysis_primary_eligible,ok,1033,60,80,953,2,58,0.4913218422472574,0.08422058458145854,1.2044852974749451,2000,10,0,True,Converged,8,21.447241045498547,True,tg_hdl_ratio,0.01,0.99,0.4632975847625597,6.468348635434113,1300,1276,24
trim01_99_TAI_A,Outlier robustness using 1%/99% trimming,ep_non_hdl,non-HDL ≥ 130 mg/dL,tai_A,analysis_non_hdl_eligible,ok,1034,216,83,951,19,197,1.135902984848509,0.6473368010113291,1.8961019081489532,2000,0,0,True,Converged,6,21.45551257253385,True,non_hdl,0.01,0.99,51.946,189.0,1300,1277,23
trim01_99_TAI_A,Outlier robustness using 1%/99% trimming,ep_ogtt120,OGTT 120' glucose ≥ 140 mg/dL,tai_A,analysis_ogtt120_eligible,ok,1013,144,77,936,13,131,1.2808929678034657,0.623894740643527,2.2886609284584116,2000,1,0,True,Converged,7,21.43731490621915,True,glu120,0.01,0.99,56.015,204.1700000000003,1300,1276,24
